               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.042135,            0.029104,            0.047117,             0.41358,             0.32358,             0.24676,              0.1079,            0.042409,            0.034792,            0.043652,            0.006436,            0.006436,            0.006436
                  38,            0.042471,            0.031795,            0.047664,             0.48444,             0.32951,             0.26378,              0.1337,            0.041103,            0.034293,            0.043568,            0.006337,            0.006337,            0.006337
                  39,            0.041195,            0.028337,            0.047537,             0.43851,             0.35803,             0.26067,             0.11674,            0.042152,            0.033406,            0.043435,            0.006238,            0.006238,            0.006238
                  40,            0.044997,            0.029764,            0.047494,             0.43906,             0.35498,             0.25838,             0.11316,            0.044313,            0.033646,            0.043257,            0.006139,            0.006139,            0.006139
                  41,            0.044432,            0.028928,            0.048946,             0.42813,             0.35985,             0.27506,             0.13908,             0.04097,            0.033765,            0.042829,             0.00604,             0.00604,             0.00604
                  42,            0.046512,            0.030001,             0.04884,             0.38426,             0.36703,             0.26954,             0.13395,            0.040376,             0.03353,            0.042587,            0.005941,            0.005941,            0.005941
                  43,            0.044076,               0.029,            0.049005,             0.48458,             0.37669,             0.28002,             0.14961,            0.037692,            0.033609,            0.042207,            0.005842,            0.005842,            0.005842
                  44,            0.042627,            0.030675,            0.048755,             0.43238,             0.37982,             0.28191,              0.1412,            0.041565,             0.03369,            0.041894,            0.005743,            0.005743,            0.005743
                  45,            0.040555,             0.02724,            0.045162,             0.49938,             0.33982,             0.29605,             0.13685,            0.043255,            0.033545,            0.041834,            0.005644,            0.005644,            0.005644
                  46,            0.040236,            0.028379,            0.045626,             0.49901,              0.3627,             0.30062,             0.14018,            0.047831,            0.033146,            0.041965,            0.005545,            0.005545,            0.005545
                  47,            0.043751,            0.028472,            0.046092,             0.43277,             0.37334,             0.31502,             0.15964,            0.043015,            0.032976,            0.041722,            0.005446,            0.005446,            0.005446
                  48,            0.044292,            0.026946,            0.047238,             0.46916,              0.3713,             0.32346,             0.17805,            0.036831,            0.032769,            0.041466,            0.005347,            0.005347,            0.005347
                  49,             0.04045,            0.027296,              0.0464,             0.46804,             0.36741,             0.30579,             0.15638,            0.039663,            0.032588,            0.041304,            0.005248,            0.005248,            0.005248
                  50,            0.040095,             0.03057,            0.045565,             0.46021,             0.36133,             0.32015,             0.16659,              0.0377,            0.032499,            0.040891,            0.005149,            0.005149,            0.005149
                  51,            0.037539,            0.026694,            0.044814,             0.45941,              0.3689,             0.31931,             0.15518,            0.039376,            0.032545,            0.040649,             0.00505,             0.00505,             0.00505
                  52,            0.039332,            0.026895,            0.047046,             0.46423,             0.37387,             0.32264,              0.1571,            0.039483,            0.032844,            0.040431,            0.004951,            0.004951,            0.004951
                  53,            0.038927,            0.028084,             0.04368,             0.42387,             0.42784,             0.33781,             0.18782,            0.036272,            0.032028,            0.040336,            0.004852,            0.004852,            0.004852
                  54,            0.039792,            0.026519,            0.043005,             0.49016,             0.42798,             0.34541,              0.1902,            0.036592,            0.032066,            0.040223,            0.004753,            0.004753,            0.004753
                  55,            0.038902,            0.027681,            0.045332,             0.41936,             0.45253,             0.34553,             0.19041,            0.034956,            0.031763,            0.040035,            0.004654,            0.004654,            0.004654
                  56,            0.035695,            0.027392,            0.042815,             0.42291,             0.43957,             0.34449,             0.19577,            0.036173,            0.031678,             0.03987,            0.004555,            0.004555,            0.004555
                  57,             0.03667,             0.02808,            0.044181,             0.41623,             0.45441,             0.35969,             0.19704,            0.034946,             0.03154,            0.039622,            0.004456,            0.004456,            0.004456
                  58,            0.038746,            0.026254,             0.04449,             0.36713,             0.46372,              0.3614,              0.2011,            0.034298,            0.031476,            0.039389,            0.004357,            0.004357,            0.004357
                  59,            0.037358,            0.027251,            0.044058,             0.37444,             0.46193,             0.36566,             0.21426,            0.036066,            0.031286,            0.039063,            0.004258,            0.004258,            0.004258
                  60,            0.036475,            0.027075,            0.042441,             0.37076,             0.43523,             0.36682,               0.209,            0.034995,            0.031448,            0.038795,            0.004159,            0.004159,            0.004159
                  61,            0.036378,              0.0253,            0.043606,             0.37608,             0.44047,             0.36649,             0.19991,            0.035776,            0.031649,            0.038612,             0.00406,             0.00406,             0.00406
                  62,            0.034637,            0.026774,             0.04265,             0.37467,             0.47985,             0.37555,             0.22072,            0.035338,            0.031335,            0.038271,            0.003961,            0.003961,            0.003961
                  63,            0.035097,            0.025492,            0.043169,              0.3961,             0.47389,             0.37413,             0.21579,            0.036358,            0.031541,            0.038117,            0.003862,            0.003862,            0.003862
                  64,            0.036113,            0.026882,             0.04212,             0.39246,             0.49225,               0.371,             0.22476,            0.033098,            0.031152,            0.037799,            0.003763,            0.003763,            0.003763
                  65,            0.035659,            0.026216,            0.042005,             0.39884,              0.4822,             0.36888,             0.21554,            0.034496,            0.030892,            0.037543,            0.003664,            0.003664,            0.003664
                  66,            0.036207,            0.026235,            0.040744,             0.40057,             0.48052,             0.38056,             0.22698,            0.032907,            0.030758,            0.037302,            0.003565,            0.003565,            0.003565
                  67,            0.035378,            0.025358,            0.041592,             0.40503,             0.48438,             0.38274,             0.22268,            0.035133,            0.030701,            0.037286,            0.003466,            0.003466,            0.003466
                  68,            0.037189,            0.025717,            0.043476,             0.41171,              0.4639,             0.39987,             0.23622,            0.032592,            0.031252,            0.037198,            0.003367,            0.003367,            0.003367
                  69,            0.035382,            0.024512,            0.041562,             0.41248,             0.47608,             0.40343,              0.2368,            0.033006,            0.030795,            0.037105,            0.003268,            0.003268,            0.003268
                  70,             0.03475,            0.027815,            0.041673,             0.41902,             0.47567,             0.39528,             0.21337,            0.034376,            0.031009,              0.0369,            0.003169,            0.003169,            0.003169
                  71,            0.033117,            0.024786,            0.041749,             0.42081,             0.48767,             0.40194,             0.23177,            0.033732,            0.031088,             0.03676,             0.00307,             0.00307,             0.00307
                  72,            0.033564,            0.023996,            0.041281,             0.41399,             0.50644,             0.41153,             0.24371,            0.034467,            0.031183,            0.036618,            0.002971,            0.002971,            0.002971
                  73,            0.035644,            0.026583,            0.039658,             0.42038,             0.48691,             0.41422,              0.2537,            0.033501,            0.030946,            0.036388,            0.002872,            0.002872,            0.002872
                  74,            0.034989,            0.025433,             0.04188,             0.38295,             0.53053,             0.41049,             0.25161,            0.033643,            0.031006,            0.036237,            0.002773,            0.002773,            0.002773
                  75,            0.033999,            0.025115,            0.039807,             0.43565,             0.52435,               0.408,             0.24336,            0.033605,            0.031108,            0.035997,            0.002674,            0.002674,            0.002674
                  76,            0.033051,            0.026044,             0.03974,             0.42147,             0.53062,             0.40594,             0.22532,            0.036143,            0.030796,            0.035855,            0.002575,            0.002575,            0.002575
